FileA,FileB,JPlag,CpgMinimal,CpgStandard,CpgAI,TimeJPlag(ms),TimeMinimalCpg(ms),TimeStandardCpg(ms),TimeAi(ms)
aiGenerated/gemini/ProjectA.java,aiGenerated/gemini/Project3.java,0.0000,0.0000,0.0000,0.0000,18.83,158.82,127.13,209.26
aiGenerated/gemini/ProjectB.java,aiGenerated/gemini/ProjectI.java,0.0000,0.0000,0.0000,0.0000,19.54,104.92,99.75,122.95
aiGenerated/gemini/ProjectF.java,aiGenerated/grok/project4.java,0.0000,0.0000,0.0000,0.0000,17.22,81.02,74.37,108.82
aiGenerated/gemini/ProjectH.java,aiGenerated/claude/Project1.java,0.0000,0.0000,0.0000,0.0000,25.59,61.32,64.62,82.67
aiGenerated/gemini/ProjectJ.java,aiGenerated/grok/project5.java,0.0000,0.0000,0.0000,0.0000,26.58,89.14,81.65,135.16
aiGenerated/gemini/ProjectL.java,aiGenerated/gemini/Project2.java,0.0000,0.0000,0.0000,0.0000,24.30,112.82,107.00,119.37
aiGenerated/gemini/ProjectN.java,aiGenerated/gemini/ProjectU.java,0.0000,0.1053,0.1091,0.1500,16.43,62.40,63.45,77.07
aiGenerated/gemini/ProjectP.java,aiGenerated/gemini/Project7.java,0.0000,0.0000,0.0000,0.0000,17.33,166.36,194.73,225.98
aiGenerated/gemini/ProjectT.java,aiGenerated/perplexityLabs/Project4.java,0.0000,0.0000,0.0000,0.0000,13.98,32.65,40.68,45.98
aiGenerated/gemini/Project1.java,aiGenerated/geminiPlag/NetworkController.java,0.0000,0.0000,0.0000,0.0000,13.68,42.27,51.94,60.56
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project8.java,0.1132,0.0000,0.1370,0.1667,16.28,91.09,97.59,130.76
aiGenerated/gemini/Project7.java,aiGenerated/gemini/ProjectG.java,0.0000,0.0905,0.0000,0.0000,16.43,143.41,142.00,161.29
aiGenerated/gemini/Project4.java,aiGenerated/gemini/ProjectC.java,0.0000,0.0000,0.0000,0.0000,15.76,154.64,204.24,256.51
aiGenerated/gemini/Project4.java,aiGenerated/gemini/ProjectQ.java,0.0896,0.0000,0.0000,0.0000,15.45,176.62,223.18,264.59
aiGenerated/gemini/ProjectH.java,aiGenerated/perplexityLabs/Project3.java,0.0000,0.0000,0.0000,0.0000,14.95,43.34,58.78,79.09
aiGenerated/geminiPlag/NetworkController.java,aiGenerated/grok/project2.java,0.0000,0.0000,0.0000,0.0000,17.94,29.95,36.46,46.49
aiGenerated/claude/Project1.java,aiGenerated/gemini/ProjectO.java,0.0000,0.0000,0.0000,0.0000,16.86,39.91,41.70,54.83
aiGenerated/claude/Project4.java,aiGenerated/claude/Project8.java,0.0000,0.0000,0.0000,0.0000,15.66,74.15,109.43,124.81
aiGenerated/claude/Project4.java,aiGenerated/grok/project8.java,0.0000,0.0000,0.0000,0.0000,16.42,84.29,81.12,119.31
aiGenerated/claude/Project5.java,aiGenerated/claude/Project2.java,0.0000,0.0000,0.1241,0.1748,16.44,30.94,37.75,43.20
aiGenerated/claude/Project7.java,aiGenerated/claude/Project3.java,0.0000,0.0425,0.0000,0.0000,15.75,69.11,87.56,105.81
aiGenerated/claude/Project9.java,aiGenerated/geminiPlag/GridOverseer.java,0.0234,0.0233,0.0278,0.0409,21.25,139.30,195.92,263.39
aiGenerated/perplexityLabs/Project1.java,aiGenerated/gemini/Project8.java,0.0000,0.0000,0.0000,0.0000,16.69,84.08,89.26,99.27
aiGenerated/perplexityLabs/Project1.java,aiGenerated/gemini/ProjectE.java,0.0000,0.0000,0.0000,0.0000,18.32,22.49,31.65,30.48
aiGenerated/grok/project1.java,aiGenerated/claude/Project10.java,0.0000,0.0000,0.0000,0.0000,19.56,124.77,167.97,230.23
aiGenerated/grok/project3.java,aiGenerated/gemini/ProjectM.java,0.0000,0.0000,0.0000,0.0000,13.53,36.68,51.22,83.79
aiGenerated/grok/project4.java,aiGenerated/gemini/ProjectK.java,0.0000,0.0000,0.0000,0.0000,13.31,63.40,69.20,77.72
aiGenerated/grok/project6.java,aiGenerated/claude/Project6.java,0.0451,0.0911,0.0619,0.0647,15.65,112.60,124.64,174.80
