FileA,FileB,JPlag,CpgMinimal,CpgStandard,CpgAI,TimeJPlag(ms),TimeMinimalCpg(ms),TimeStandardCpg(ms),TimeAi(ms)
aiGenerated/gemini/ProjectA.java,aiGenerated/gemini/Project3.java,0.0000,0.0000,0.0000,0.0000,23.73,156.72,140.29,264.31
aiGenerated/gemini/ProjectB.java,aiGenerated/gemini/ProjectI.java,0.0000,0.0000,0.0000,0.0000,21.50,93.97,93.96,131.91
aiGenerated/gemini/ProjectF.java,aiGenerated/grok/project4.java,0.0000,0.0000,0.0000,0.0000,21.55,76.57,70.11,109.98
aiGenerated/gemini/ProjectH.java,aiGenerated/claude/Project1.java,0.0000,0.0000,0.0000,0.0000,23.14,58.42,63.81,81.72
aiGenerated/gemini/ProjectJ.java,aiGenerated/grok/project5.java,0.0000,0.0000,0.0000,0.0000,20.11,69.70,73.49,89.54
aiGenerated/gemini/ProjectL.java,aiGenerated/gemini/Project2.java,0.0000,0.0000,0.0000,0.0000,19.16,91.92,118.12,130.65
aiGenerated/gemini/ProjectN.java,aiGenerated/gemini/ProjectU.java,0.0000,0.1053,0.1091,0.1500,17.49,63.30,67.81,75.27
aiGenerated/gemini/ProjectP.java,aiGenerated/gemini/Project7.java,0.0000,0.0000,0.0000,0.0000,17.82,170.23,192.58,231.43
aiGenerated/gemini/ProjectT.java,aiGenerated/perplexityLabs/Project4.java,0.0000,0.0000,0.0000,0.0000,14.58,33.14,38.29,65.27
aiGenerated/gemini/Project1.java,aiGenerated/geminiPlag/NetworkController.java,0.0000,0.0000,0.0000,0.0000,19.58,63.48,51.42,54.01
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project8.java,0.1132,0.0000,0.1370,0.1667,16.19,93.77,107.72,121.43
aiGenerated/gemini/Project7.java,aiGenerated/gemini/ProjectG.java,0.0000,0.0905,0.0000,0.0000,19.84,114.20,166.95,160.08
aiGenerated/gemini/Project4.java,aiGenerated/gemini/ProjectC.java,0.0000,0.0000,0.0000,0.0000,18.95,157.02,184.40,233.68
aiGenerated/gemini/Project4.java,aiGenerated/gemini/ProjectQ.java,0.0896,0.0000,0.0000,0.0000,16.12,181.68,263.52,258.21
aiGenerated/gemini/ProjectH.java,aiGenerated/perplexityLabs/Project3.java,0.0000,0.0000,0.0000,0.0000,16.04,50.18,54.63,66.27
aiGenerated/geminiPlag/NetworkController.java,aiGenerated/grok/project2.java,0.0000,0.0000,0.0000,0.0000,16.73,33.21,49.76,77.56
aiGenerated/claude/Project1.java,aiGenerated/gemini/ProjectO.java,0.0000,0.0000,0.0000,0.0000,16.88,39.55,45.63,59.25
aiGenerated/claude/Project4.java,aiGenerated/claude/Project8.java,0.0000,0.0000,0.0000,0.0000,14.95,64.94,83.45,123.63
aiGenerated/claude/Project4.java,aiGenerated/grok/project8.java,0.0000,0.0000,0.0000,0.0000,16.89,89.86,84.33,117.40
aiGenerated/claude/Project5.java,aiGenerated/claude/Project2.java,0.0000,0.0000,0.1241,0.1748,15.73,33.54,36.25,48.78
aiGenerated/claude/Project7.java,aiGenerated/claude/Project3.java,0.0000,0.0425,0.0000,0.0000,18.38,65.42,80.62,163.23
aiGenerated/claude/Project9.java,aiGenerated/geminiPlag/GridOverseer.java,0.0234,0.0233,0.0278,0.0409,19.75,142.52,190.53,295.19
aiGenerated/perplexityLabs/Project1.java,aiGenerated/gemini/Project8.java,0.0000,0.0000,0.0000,0.0000,16.54,84.87,85.82,110.75
aiGenerated/perplexityLabs/Project1.java,aiGenerated/gemini/ProjectE.java,0.0000,0.0000,0.0000,0.0000,14.64,21.70,29.65,34.14
aiGenerated/grok/project1.java,aiGenerated/claude/Project10.java,0.0000,0.0000,0.0000,0.0000,18.73,116.21,153.52,302.74
aiGenerated/grok/project3.java,aiGenerated/gemini/ProjectM.java,0.0000,0.0000,0.0000,0.0000,13.57,34.41,50.05,76.22
aiGenerated/grok/project4.java,aiGenerated/gemini/ProjectK.java,0.0000,0.0000,0.0000,0.0000,14.77,62.27,68.75,80.87
aiGenerated/grok/project6.java,aiGenerated/claude/Project6.java,0.0451,0.0911,0.0619,0.0647,14.69,123.95,147.50,188.60
