FileA,FileB,JPlag,CpgMinimal,CpgStandard,CpgAI,TimeJPlag(ms),TimeMinimalCpg(ms),TimeStandardCpg(ms),TimeAi(ms)
aiGenerated/claude/Project4.java,aiGenerated/claude/Project1.java,0.1714,0.1525,0.1538,0.2466,406.17,791.84,145.18,109.43
aiGenerated/claude/Project4.java,aiGenerated/claude/Project3.java,0.2261,0.1970,0.3511,0.3824,32.31,60.24,58.60,65.22
aiGenerated/claude/Project5.java,aiGenerated/claude/Project6.java,0.8991,0.9016,0.7535,0.7467,23.85,77.08,77.25,108.03
aiGenerated/claude/Project7.java,aiGenerated/claude/Project8.java,0.9547,0.9524,0.9470,0.9779,28.91,183.77,176.38,359.76
aiGenerated/claude/Project9.java,aiGenerated/claude/Project10.java,0.9833,0.9821,0.9844,1.0000,29.75,264.83,315.37,672.10
aiGenerated/gemini/ProjectA.java,aiGenerated/gemini/ProjectC.java,0.7468,0.7781,0.8026,0.8425,19.28,104.13,76.35,594.50
aiGenerated/gemini/ProjectB.java,aiGenerated/gemini/ProjectE.java,0.5306,0.5854,0.5963,0.6512,16.28,30.13,33.97,46.58
aiGenerated/gemini/ProjectF.java,aiGenerated/gemini/ProjectG.java,0.5352,0.5939,0.5965,0.6700,21.63,40.26,106.88,359.51
aiGenerated/gemini/ProjectH.java,aiGenerated/gemini/ProjectI.java,0.8471,0.8372,0.8929,0.8889,17.34,42.55,39.02,90.96
aiGenerated/gemini/ProjectJ.java,aiGenerated/gemini/ProjectK.java,0.7524,0.6564,0.6598,0.6776,15.47,51.46,58.81,297.49
aiGenerated/gemini/ProjectL.java,aiGenerated/gemini/ProjectM.java,0.9674,0.9615,0.9583,1.0000,18.57,71.66,63.79,202.10
aiGenerated/gemini/ProjectN.java,aiGenerated/gemini/ProjectO.java,0.8586,0.7912,0.8023,0.9925,16.43,32.54,42.88,56.95
aiGenerated/gemini/ProjectP.java,aiGenerated/gemini/ProjectQ.java,0.6351,0.5877,0.5471,0.5648,16.82,39.91,55.01,129.05
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project2.java,0.5167,0.5120,0.5246,0.6038,15.58,42.44,30.87,51.58
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project3.java,0.1802,0.2051,0.2124,0.0000,16.21,20.49,31.46,46.02
aiGenerated/gemini/Project7.java,aiGenerated/gemini/Project8.java,0.6178,0.4268,0.5195,0.5556,17.17,35.67,44.59,61.27
aiGenerated/gemini/Project4.java,aiGenerated/gemini/Project7.java,0.6597,0.4294,0.5912,0.6309,17.04,40.65,40.56,66.87
aiGenerated/gemini/Project4.java,aiGenerated/gemini/Project8.java,0.8316,0.6289,0.7239,0.6853,15.08,28.45,43.44,60.62
aiGenerated/gemini/ProjectH.java,aiGenerated/geminiPlag/NetworkController.java,0.6667,0.5033,0.8027,0.9496,16.12,25.12,32.68,94.83
aiGenerated/gemini/ProjectJ.java,aiGenerated/geminiPlag/ServerProcessManager.java,0.4054,0.1193,0.0935,0.0952,16.70,34.48,52.94,219.89
aiGenerated/geminiPlag/NetworkController.java,aiGenerated/geminiPlag/GridOverseer.java,0.4720,0.1863,0.2436,0.2436,16.28,34.34,36.45,64.30
aiGenerated/claude/Project1.java,aiGenerated/claude/Project2.java,0.7216,0.6667,0.6667,0.6076,17.59,16.76,22.57,24.01
aiGenerated/claude/Project4.java,aiGenerated/claude/Project1.java,0.1714,0.1525,0.1538,0.2466,15.02,16.62,19.04,33.63
aiGenerated/claude/Project4.java,aiGenerated/claude/Project3.java,0.2261,0.1970,0.3511,0.3824,14.38,17.81,23.92,33.10
aiGenerated/claude/Project5.java,aiGenerated/claude/Project6.java,0.8991,0.9016,0.7535,0.7467,16.77,27.87,38.76,57.59
aiGenerated/claude/Project7.java,aiGenerated/claude/Project8.java,0.9547,0.9524,0.9470,0.9779,19.47,73.40,102.81,303.18
aiGenerated/claude/Project9.java,aiGenerated/claude/Project10.java,0.9833,0.9821,0.9844,1.0000,22.91,182.50,273.05,598.79
aiGenerated/perplexityLabs/Project1.java,aiGenerated/perplexityLabs/Project3.java,0.6970,0.8507,0.8462,1.0000,14.40,27.85,29.96,43.07
aiGenerated/perplexityLabs/Project1.java,aiGenerated/perplexityLabs/Project4.java,0.5000,0.6718,0.6667,0.8421,13.04,16.07,27.36,41.66
aiGenerated/grok/project1.java,aiGenerated/grok/project2.java,0.9750,0.9778,0.9773,0.9730,13.56,14.59,20.83,27.68
aiGenerated/grok/project3.java,aiGenerated/grok/project4.java,0.5333,0.5000,0.5000,0.5366,13.72,14.54,16.30,38.38
aiGenerated/grok/project3.java,aiGenerated/grok/project5.java,0.7632,0.3902,0.3951,0.5366,15.47,17.29,26.89,46.59
aiGenerated/grok/project4.java,aiGenerated/grok/project5.java,0.4737,0.7561,0.7654,1.0000,16.61,21.00,27.83,47.72
aiGenerated/grok/project6.java,aiGenerated/grok/project7.java,0.8727,0.8552,0.8650,0.8662,16.37,86.20,108.75,220.24
aiGenerated/grok/project6.java,aiGenerated/grok/project8.java,0.5067,0.4939,0.4577,0.5269,16.09,62.63,80.16,193.36
aiGenerated/grok/project7.java,aiGenerated/grok/project8.java,0.5896,0.5939,0.5756,0.6141,17.56,53.33,71.74,207.31
