FileA,FileB,JPlag,CpgMinimal,CpgStandard,CpgAI,TimeJPlag(ms),TimeMinimalCpg(ms),TimeStandardCpg(ms),TimeAi(ms)
aiGenerated/gemini/ProjectA.java,aiGenerated/gemini/ProjectC.java,0.7468,0.7781,0.8026,0.8425,21.24,105.68,100.16,175.12
aiGenerated/gemini/ProjectB.java,aiGenerated/gemini/ProjectE.java,0.5306,0.5854,0.5963,0.6512,18.17,34.30,40.57,51.96
aiGenerated/gemini/ProjectF.java,aiGenerated/gemini/ProjectG.java,0.5352,0.5939,0.5965,0.6700,19.78,43.86,108.69,90.75
aiGenerated/gemini/ProjectH.java,aiGenerated/gemini/ProjectI.java,0.8471,0.8372,0.8929,0.8889,15.52,46.81,38.15,61.74
aiGenerated/gemini/ProjectJ.java,aiGenerated/gemini/ProjectK.java,0.7524,0.6564,0.6598,0.6776,24.35,72.11,73.91,84.35
aiGenerated/gemini/ProjectL.java,aiGenerated/gemini/ProjectM.java,0.9674,0.9615,0.9583,1.0000,18.67,87.33,70.04,126.29
aiGenerated/gemini/ProjectN.java,aiGenerated/gemini/ProjectO.java,0.8586,0.7912,0.8023,0.9925,20.31,48.34,45.50,52.92
aiGenerated/gemini/ProjectP.java,aiGenerated/gemini/ProjectQ.java,0.6351,0.5877,0.5471,0.5648,19.58,43.25,50.50,125.23
aiGenerated/gemini/ProjectT.java,aiGenerated/gemini/ProjectU.java,1.0000,1.0000,1.0000,1.0000,17.37,32.90,41.13,67.12
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project2.java,0.5167,0.5120,0.5246,0.6038,19.84,31.81,41.53,41.13
aiGenerated/gemini/Project1.java,aiGenerated/gemini/Project3.java,0.1802,0.2051,0.2124,0.0000,18.49,19.69,30.92,37.62
aiGenerated/gemini/Project7.java,aiGenerated/gemini/Project8.java,0.6178,0.4268,0.5195,0.5556,16.45,41.81,53.05,69.20
aiGenerated/gemini/Project4.java,aiGenerated/gemini/Project7.java,0.6597,0.4294,0.5912,0.6309,15.10,37.38,47.26,65.28
aiGenerated/gemini/Project4.java,aiGenerated/gemini/Project8.java,0.8316,0.6289,0.7239,0.6853,16.82,28.40,45.54,61.67
aiGenerated/gemini/ProjectH.java,aiGenerated/geminiPlag/NetworkController.java,0.6667,0.5033,0.8027,0.9496,15.71,26.91,30.98,50.69
aiGenerated/gemini/ProjectJ.java,aiGenerated/geminiPlag/ServerProcessManager.java,0.4054,0.1193,0.0935,0.0952,16.81,34.98,57.80,92.11
aiGenerated/geminiPlag/NetworkController.java,aiGenerated/geminiPlag/GridOverseer.java,0.4720,0.1863,0.2436,0.2436,13.90,30.91,33.84,62.43
aiGenerated/claude/Project1.java,aiGenerated/claude/Project2.java,0.7216,0.6667,0.6667,0.6076,22.16,19.16,19.85,23.53
aiGenerated/claude/Project4.java,aiGenerated/claude/Project1.java,0.1714,0.1525,0.1538,0.2466,13.87,16.03,17.95,28.10
aiGenerated/claude/Project4.java,aiGenerated/claude/Project3.java,0.2261,0.1970,0.3511,0.3824,19.67,15.03,21.84,34.36
aiGenerated/claude/Project5.java,aiGenerated/claude/Project6.java,0.8991,0.9016,0.7535,0.7467,15.58,28.73,50.07,49.63
aiGenerated/claude/Project7.java,aiGenerated/claude/Project8.java,0.9547,0.9524,0.9470,0.9779,20.21,75.05,116.56,196.88
aiGenerated/claude/Project9.java,aiGenerated/claude/Project10.java,0.9833,0.9821,0.9844,1.0000,19.01,154.21,239.59,403.40
aiGenerated/perplexityLabs/Project1.java,aiGenerated/perplexityLabs/Project3.java,0.6970,0.8507,0.8462,1.0000,16.95,19.26,28.42,33.00
aiGenerated/perplexityLabs/Project1.java,aiGenerated/perplexityLabs/Project4.java,0.5000,0.6718,0.6667,0.8421,14.37,18.28,23.82,33.73
aiGenerated/grok/project1.java,aiGenerated/grok/project2.java,0.9750,0.9778,0.9773,0.9730,13.22,14.57,18.88,28.33
aiGenerated/grok/project3.java,aiGenerated/grok/project4.java,0.5333,0.5000,0.5000,0.5366,21.28,13.44,16.48,21.85
aiGenerated/grok/project3.java,aiGenerated/grok/project5.java,0.7632,0.3902,0.3951,0.5366,13.29,15.09,20.63,25.29
aiGenerated/grok/project4.java,aiGenerated/grok/project5.java,0.4737,0.7561,0.7654,1.0000,12.67,14.80,18.92,27.28
aiGenerated/grok/project6.java,aiGenerated/grok/project7.java,0.8727,0.8552,0.8650,0.8662,15.98,94.25,111.60,223.95
aiGenerated/grok/project6.java,aiGenerated/grok/project8.java,0.5067,0.4939,0.4577,0.5269,16.23,59.11,81.68,151.73
aiGenerated/grok/project7.java,aiGenerated/grok/project8.java,0.5896,0.5939,0.5756,0.6141,17.20,62.63,77.43,132.17
