FileName,NoRemoval,SimpleRemoval,FullRemoval,RemovedSimpleTokens,RemovedFullTokens,RemovedManualTokens,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException,RuntimeException,tokensSound,simpleRemovalSound,removalSound
aiGenerated/gemini/ProjectA.java,91.5600,91.5600,95.9200,0.0000,7.0000,13.0000,162.06,87.04,122.58,false,false,false,true,true,true
aiGenerated/gemini/ProjectB.java,14.1600,14.1600,26.2300,0.0000,52.0000,97.0000,66.61,55.00,59.56,false,false,false,true,true,true
aiGenerated/gemini/ProjectC.java,88.6100,88.6100,0.0000,0.0000,158.0000,18.0000,72.79,70.89,57.30,true,false,false,true,true,true
aiGenerated/gemini/ProjectD.java,51.4700,51.4700,51.4700,0.0000,0.0000,33.0000,39.58,37.16,40.93,false,false,false,true,true,true
aiGenerated/gemini/ProjectE.java,31.3700,31.3700,76.1900,0.0000,30.0000,35.0000,31.49,34.03,30.13,false,false,false,true,true,true
aiGenerated/gemini/ProjectF.java,89.4700,89.4700,0.0000,0.0000,114.0000,12.0000,36.81,44.51,48.33,true,false,false,true,true,true
aiGenerated/gemini/ProjectG.java,83.4800,83.4800,94.1200,0.0000,13.0000,19.0000,35.10,39.35,61.41,false,false,false,true,true,true
aiGenerated/gemini/ProjectH.java,81.7100,81.7100,90.5400,0.0000,8.0000,15.0000,39.40,34.27,43.76,false,false,false,true,true,true
aiGenerated/gemini/ProjectI.java,74.4400,74.4400,80.7200,0.0000,7.0000,23.0000,36.34,42.99,43.26,false,false,false,true,true,true
aiGenerated/gemini/ProjectJ.java,87.5000,87.5000,0.0000,0.0000,104.0000,13.0000,38.82,42.89,43.66,true,false,false,true,true,true
aiGenerated/gemini/ProjectK.java,84.0400,84.0400,88.3000,0.0000,7.0000,-3.0000,32.82,37.79,49.50,false,false,false,false,false,false
aiGenerated/gemini/ProjectL.java,85.8400,85.8400,0.0000,0.0000,113.0000,16.0000,64.66,49.62,42.31,true,false,false,true,true,true
aiGenerated/gemini/ProjectM.java,88.9900,88.9900,0.0000,0.0000,109.0000,12.0000,46.40,37.59,42.42,true,false,false,true,true,true
aiGenerated/gemini/ProjectN.java,81.1100,81.1100,82.1900,0.0000,28.0000,17.0000,39.69,34.60,31.69,false,false,false,true,true,false
aiGenerated/gemini/ProjectO.java,84.7800,84.7800,75.6400,0.0000,31.0000,14.0000,28.42,31.70,34.56,false,false,false,true,true,false
aiGenerated/gemini/ProjectP.java,93.8100,93.8100,100.0000,0.0000,7.0000,7.0000,34.99,35.49,62.24,false,false,false,true,true,true
aiGenerated/gemini/ProjectQ.java,88.7000,88.7000,98.0800,0.0000,11.0000,13.0000,32.07,33.06,65.74,false,false,false,true,true,true
aiGenerated/gemini/ProjectT.java,61.7300,61.7300,83.3300,0.0000,21.0000,31.0000,33.41,27.83,31.59,false,false,false,true,true,true
aiGenerated/gemini/ProjectU.java,61.7300,61.7300,83.3300,0.0000,21.0000,31.0000,33.60,30.39,30.79,false,false,false,true,true,true
aiGenerated/gemini/Project1.java,76.4700,76.4700,100.0000,0.0000,16.0000,16.0000,32.87,29.22,34.88,false,false,false,true,true,true
aiGenerated/gemini/Project2.java,82.4600,82.4600,82.4600,0.0000,0.0000,10.0000,27.89,27.62,30.72,false,false,false,true,true,true
aiGenerated/gemini/Project3.java,44.9000,44.9000,100.0000,0.0000,27.0000,27.0000,23.55,27.41,26.44,false,false,false,true,true,true
aiGenerated/gemini/Project4.java,75.9500,75.9500,75.9500,0.0000,0.0000,19.0000,28.42,30.83,40.61,false,false,false,true,true,true
aiGenerated/gemini/Project5.java,91.0300,91.0300,91.0300,0.0000,0.0000,7.0000,29.97,35.79,37.59,false,false,false,true,true,true
aiGenerated/gemini/Project7.java,69.0500,69.0500,69.0500,0.0000,0.0000,26.0000,27.06,27.21,37.41,false,false,false,true,true,true
aiGenerated/gemini/Project8.java,76.2500,76.2500,76.2500,0.0000,0.0000,19.0000,28.24,28.46,35.75,false,false,false,true,true,true
aiGenerated/claude/Project1.java,77.9700,77.9700,100.0000,0.0000,13.0000,13.0000,20.69,19.60,26.12,false,false,false,true,true,true
aiGenerated/claude/Project2.java,67.3500,67.3500,100.0000,0.0000,16.0000,16.0000,19.33,18.33,21.43,false,false,false,true,true,true
aiGenerated/claude/Project3.java,52.0500,52.0500,92.6800,0.0000,32.0000,35.0000,21.44,19.49,26.65,false,false,false,true,true,true
aiGenerated/claude/Project4.java,45.7600,45.7600,100.0000,0.0000,32.0000,32.0000,21.10,18.47,27.97,false,false,false,true,true,true
aiGenerated/claude/Project5.java,69.3700,69.3700,100.0000,0.0000,34.0000,34.0000,22.54,22.01,27.30,false,false,false,true,true,true
aiGenerated/claude/Project6.java,57.8900,57.8900,89.5300,0.0000,47.0000,56.0000,26.54,24.60,31.43,false,false,false,true,true,true
aiGenerated/claude/Project7.java,49.5700,49.5700,89.2300,0.0000,156.0000,177.0000,40.66,43.50,72.82,false,false,false,true,true,true
aiGenerated/claude/Project8.java,45.5700,45.5700,86.2100,0.0000,181.0000,209.0000,45.94,48.98,69.47,false,false,false,true,true,true
aiGenerated/claude/Project9.java,43.2300,43.2300,72.1700,0.0000,308.0000,436.0000,69.78,81.92,139.31,false,false,false,true,true,true
aiGenerated/claude/Project10.java,41.8100,41.8100,72.1700,0.0000,334.0000,462.0000,87.47,87.18,151.19,false,false,false,true,true,true
aiGenerated/perplexityLabs/Project1.java,84.1300,84.1300,100.0000,0.0000,10.0000,10.0000,9.12,8.82,11.08,false,false,false,true,true,true
aiGenerated/perplexityLabs/Project2.java,78.4800,78.4800,100.0000,0.0000,17.0000,17.0000,10.48,10.41,17.22,false,false,false,true,true,true
aiGenerated/perplexityLabs/Project3.java,74.6500,74.6500,100.0000,0.0000,18.0000,18.0000,12.70,13.19,13.94,false,false,false,true,true,true
aiGenerated/perplexityLabs/Project4.java,64.7100,64.7100,95.6500,0.0000,22.0000,24.0000,10.34,9.80,12.06,false,false,false,true,true,true
aiGenerated/geminiPlag/NetworkController.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,11.96,11.46,16.82,false,false,false,true,true,true
aiGenerated/geminiPlag/ServerProcessManager.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,18.33,18.80,37.30,false,false,false,true,true,true
aiGenerated/geminiPlag/GridOverseer.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,17.05,14.41,29.45,false,false,false,true,true,true
aiGenerated/grok/project1.java,84.4400,84.4400,0.0000,0.0000,45.0000,7.0000,11.28,10.41,11.78,true,false,false,true,true,true
aiGenerated/grok/project2.java,84.4400,84.4400,0.0000,0.0000,45.0000,7.0000,9.65,10.06,11.74,true,false,false,true,true,true
aiGenerated/grok/project3.java,53.1300,53.1300,100.0000,0.0000,15.0000,15.0000,9.60,10.19,11.22,false,false,false,true,true,true
aiGenerated/grok/project4.java,75.0000,75.0000,100.0000,0.0000,8.0000,8.0000,10.04,9.79,11.00,false,false,false,true,true,true
aiGenerated/grok/project5.java,48.0000,48.0000,100.0000,0.0000,26.0000,26.0000,11.02,11.10,15.61,false,false,false,true,true,true
aiGenerated/grok/project6.java,80.0700,80.8600,0.0000,3.0000,306.0000,61.0000,40.82,37.74,41.50,true,false,false,true,true,true
aiGenerated/grok/project7.java,84.6700,85.6100,0.0000,3.0000,274.0000,42.0000,34.25,40.99,37.98,true,false,false,true,true,true
aiGenerated/grok/project8.java,79.3500,79.3500,0.0000,0.0000,184.0000,38.0000,28.03,29.19,29.72,true,false,false,true,true,true
