FileName,NoRemoval,SimpleRemoval,FullRemoval,RemovedSimpleTokens,RemovedFullTokens,RemovedManualTokens,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException,RuntimeException,tokensSound,simpleRemovalSound,removalSound
progpedia/00000006/ACCEPTED/00218_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,31.69,19.25,28.76,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00076_00001/Main.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,33.46,36.47,30.19,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00089_00002/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,43.0000,0.0000,15.11,13.64,14.65,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00172_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,26.81,24.40,28.02,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00005_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,37.0000,0.0000,20.59,19.70,23.66,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00085_00003/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,27.16,24.91,30.00,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00212_00001/CT.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,33.35,43.97,34.17,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00049_00007/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,27.13,20.81,28.32,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00213_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,13.62,10.32,12.72,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00197_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,15.15,11.93,20.27,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00133_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,16.75,15.58,20.67,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00060_00001/cigarrastontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.21,15.08,17.80,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00046_00002/cigarras.java,100.0000,100.0000,0.0000,0.0000,38.0000,0.0000,26.69,27.61,28.79,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00059_00001/cigarras.java,100.0000,100.0000,0.0000,0.0000,33.0000,0.0000,18.46,16.92,17.95,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00225_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,27.80,16.37,21.08,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00061_00006/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,20.36,21.65,26.16,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00077_00010/cigarra.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,16.05,15.87,15.92,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00222_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.74,15.39,20.91,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00049_00006/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.16,10.94,14.11,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00176_00001/Cigarras.java,100.0000,100.0000,0.0000,0.0000,36.0000,0.0000,14.85,12.50,18.82,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00021_00002/pc.java,100.0000,100.0000,0.0000,0.0000,52.0000,0.0000,21.66,21.33,26.58,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00031_00002/ProblemA.java,100.0000,100.0000,0.0000,0.0000,32.0000,0.0000,17.61,16.42,17.98,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00118_00002/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,30.30,30.47,23.52,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00054_00002/ciga2.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.40,12.46,14.13,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00174_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,11.26,9.77,11.34,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00115_00002/ProbC.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,13.45,12.63,14.45,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00220_00001/Problema1A.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,16.15,12.95,15.25,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00207_00002/cigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.88,11.62,19.32,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00104_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,24.23,21.31,25.91,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00007_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,18.06,17.83,21.84,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00216_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,11.62,9.80,13.64,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00056_00005/Cigarra.java,100.0000,100.0000,0.0000,0.0000,38.0000,0.0000,20.40,19.51,22.21,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00016_00001/cigarras.java,100.0000,100.0000,0.0000,0.0000,38.0000,0.0000,26.36,23.18,25.58,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00079_00001/ProbC.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,13.98,12.66,14.07,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00222_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.56,12.78,19.13,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00066_00013/Cigas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,22.13,20.41,24.74,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00036_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,26.46,24.66,28.76,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00101_00003/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,39.80,38.96,43.94,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00060_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,12.13,12.95,23.12,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00031_00001/ProblemA.java,100.0000,100.0000,0.0000,0.0000,33.0000,0.0000,15.47,14.24,15.44,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00103_00003/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,15.73,14.21,17.47,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00093_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,15.15,12.46,13.31,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00132_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,20.58,23.68,17.88,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00006_00001/Dizzy.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,20.65,16.22,20.18,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00063_00004/cigarra.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,13.71,12.41,16.74,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00139_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,12.82,16.23,11.90,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00124_00001/Cigarra.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.18,12.64,14.40,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00126_00002/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,13.74,12.38,22.38,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00145_00003/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,18.63,18.46,24.64,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00092_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,44.39,35.58,35.62,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00010_00001/pc.java,100.0000,100.0000,0.0000,0.0000,52.0000,0.0000,27.39,24.23,26.98,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00201_00001/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,12.08,8.72,11.67,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00008_00002/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,23.78,22.36,33.36,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00030_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,23.55,17.54,22.57,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00058_00001/CigarrasTontas.java,100.0000,100.0000,0.0000,0.0000,38.0000,0.0000,23.13,25.14,23.86,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00209_00001/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,12.41,17.68,19.00,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00094_00001/probA.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,18.21,15.08,16.04,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00080_00003/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,30.00,21.18,27.53,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00062_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,25.82,38.06,25.88,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00177_00002/cigarra.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,39.69,21.70,41.93,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00049_00004/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,15.36,13.71,14.70,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00221_00002/DAA1A.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,9.79,8.43,12.95,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00223_00004/Trabalho.java,100.0000,100.0000,0.0000,0.0000,36.0000,0.0000,13.94,12.48,16.22,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00111_00001/Cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,15.14,19.62,14.62,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00195_00002/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.85,13.15,13.91,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00074_00001/ProbA.java,100.0000,100.0000,0.0000,0.0000,32.0000,0.0000,19.71,26.61,19.91,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00009_00002/ProbA.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,37.28,39.95,30.12,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00069_00003/cigarras.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,24.55,14.90,18.61,false,false,false,true,true,true
progpedia/00000006/ACCEPTED/00046_00001/cigarras.java,100.0000,100.0000,0.0000,0.0000,42.0000,0.0000,24.31,22.95,34.90,true,false,false,true,true,true
progpedia/00000006/ACCEPTED/00094_00002/CigarrasTontas.java,100.0000,100.0000,100.0000,0.0000,0.0000,0.0000,14.47,14.59,16.27,false,false,false,true,true,true
